	Temparature	Rain	Hot	Mango	Dirty	Dengue	Mosquito	Repel	Medicine	Cleaning	Spread	Prevention	Doctor	Fogger	Corporation	Municipal	Projonon	Control	Larvae	Fogging	Cleansing	Clean	Aerosol	Production	Aedes	Steps	Symptoms	Signs	Fever	Pain	Vomit	Blood	Headache	Tireness	Breath	Platilet	Onuchokrika	Complexity	Human	Mosquitos
Temparature	1.000000	0.819940	0.913267	0.830269	0.812463	0.216038	0.230250	0.558231	0.830370	0.557823	0.878911	0.905093	0.862478	0.209820	0.812385	0.810916	0.707438	0.857045	0.200797	0.238100	0.876775	0.739280	0.245645	0.885693	0.329565	0.840365	0.910100	0.832268	0.564005	0.927544	0.831337	0.858762	0.900906	0.767299	0.792744	0.222548	0.484544	0.755219	0.918663	0.260332
Rain	0.819940	1.000000	0.887588	0.780339	0.846292	0.387126	0.419084	0.656517	0.882533	0.662105	0.851644	0.834499	0.828302	0.390046	0.779531	0.740440	0.767671	0.796727	0.386521	0.446698	0.862894	0.767898	0.417289	0.842242	0.488122	0.820487	0.880554	0.807996	0.676207	0.837078	0.858559	0.806041	0.788671	0.677381	0.728246	0.358036	0.673044	0.523207	0.839872	0.435709
Hot	0.913267	0.887588	1.000000	0.872586	0.848427	0.206475	0.232371	0.540909	0.846725	0.597160	0.842088	0.866124	0.844749	0.209128	0.844256	0.810687	0.675540	0.820741	0.207092	0.241851	0.864447	0.747506	0.251210	0.856754	0.329031	0.803685	0.946489	0.826894	0.593379	0.899866	0.851055	0.890230	0.879003	0.829890	0.835696	0.209787	0.547804	0.638493	0.904998	0.270000
Mango	0.830269	0.780339	0.872586	1.000000	0.783949	0.014449	0.052734	0.324627	0.756409	0.414630	0.732735	0.806730	0.836912	0.030150	0.791316	0.837150	0.601938	0.817569	0.019385	0.050250	0.760195	0.597269	0.102744	0.852857	0.160125	0.803312	0.828764	0.814176	0.338908	0.846062	0.770875	0.823294	0.832312	0.561249	0.795877	0.055178	0.431247	0.484100	0.863052	0.079606
Dirty	0.812463	0.846292	0.848427	0.783949	1.000000	0.501797	0.540187	0.775239	0.980327	0.816968	0.946821	0.964631	0.966905	0.526171	0.931542	0.812820	0.850051	0.961353	0.497408	0.534342	0.978365	0.941467	0.500012	0.906687	0.626735	0.964152	0.948363	0.922681	0.754242	0.920526	0.956587	0.967618	0.939699	0.592755	0.873527	0.504156	0.692556	0.543001	0.950432	0.556122
Dengue	0.216038	0.387126	0.206475	0.014449	0.501797	1.000000	0.996085	0.895845	0.582484	0.887912	0.523489	0.381004	0.372423	0.993492	0.335245	0.105396	0.545110	0.352162	0.997782	0.984062	0.492341	0.705653	0.968802	0.184285	0.985158	0.377173	0.365710	0.281667	0.896388	0.254340	0.436579	0.386892	0.342868	0.095439	0.140744	0.981351	0.703700	0.100411	0.294684	0.995667
Mosquito	0.230250	0.419084	0.232371	0.052734	0.540187	0.996085	1.000000	0.897575	0.616369	0.900364	0.545976	0.416033	0.405813	0.997698	0.377303	0.145356	0.555091	0.392122	0.996657	0.987283	0.523635	0.731680	0.965709	0.225488	0.992241	0.419970	0.398032	0.317478	0.900048	0.279919	0.470065	0.420768	0.369845	0.089333	0.183916	0.979734	0.718137	0.082588	0.329553	0.996940
Repel	0.558231	0.656517	0.540909	0.324627	0.775239	0.895845	0.897575	1.000000	0.826601	0.962626	0.805812	0.699339	0.681912	0.885897	0.644920	0.425977	0.808113	0.665298	0.882285	0.891930	0.786991	0.898970	0.853696	0.538134	0.928357	0.673744	0.690749	0.607049	0.964803	0.620896	0.738533	0.703467	0.655860	0.451962	0.474711	0.869717	0.771542	0.443176	0.639490	0.907931
Medicine	0.830370	0.882533	0.846725	0.756409	0.980327	0.582484	0.616369	0.826601	1.000000	0.863363	0.952196	0.950669	0.944753	0.598616	0.912163	0.788966	0.851265	0.939155	0.578746	0.611918	0.979529	0.963797	0.594214	0.886750	0.698950	0.943426	0.946763	0.890265	0.820454	0.897688	0.947363	0.943345	0.918534	0.591299	0.829083	0.588565	0.748141	0.544073	0.932695	0.633882
Cleaning	0.557823	0.662105	0.597160	0.414630	0.816968	0.887912	0.900364	0.962626	0.863363	1.000000	0.805446	0.712960	0.711592	0.888694	0.697181	0.481855	0.767871	0.692946	0.886207	0.889720	0.801964	0.931907	0.880485	0.552772	0.942102	0.697368	0.730585	0.635275	0.970265	0.626842	0.756240	0.748905	0.696502	0.422665	0.524202	0.890954	0.806635	0.362653	0.667975	0.915961
Spread	0.878911	0.851644	0.842088	0.732735	0.946821	0.523489	0.545976	0.805812	0.952196	0.805446	1.000000	0.953069	0.948907	0.526010	0.881419	0.809283	0.882232	0.938186	0.507348	0.571895	0.971962	0.913807	0.511885	0.885369	0.628361	0.933788	0.930565	0.913359	0.773594	0.946807	0.945432	0.927015	0.934374	0.687090	0.797104	0.514846	0.687531	0.702657	0.933680	0.561170
Prevention	0.905093	0.834499	0.866124	0.806730	0.964631	0.381004	0.416033	0.699339	0.950669	0.712960	0.953069	1.000000	0.966807	0.404885	0.921278	0.852190	0.804942	0.980310	0.370294	0.410963	0.978946	0.892140	0.376911	0.952535	0.512082	0.976953	0.957397	0.927449	0.670972	0.958368	0.943252	0.961832	0.960256	0.640785	0.903877	0.384138	0.593874	0.641549	0.981695	0.432951
Doctor	0.862478	0.828302	0.844749	0.836912	0.966905	0.372423	0.405813	0.681912	0.944753	0.711592	0.948907	0.966807	1.000000	0.386117	0.922385	0.836393	0.861409	0.978501	0.360419	0.414879	0.966234	0.876993	0.378372	0.947438	0.500527	0.976922	0.938644	0.965066	0.640391	0.962948	0.958364	0.951857	0.955273	0.596363	0.899575	0.383788	0.627957	0.621273	0.970611	0.423046
Fogger	0.209820	0.390046	0.209128	0.030150	0.526171	0.993492	0.997698	0.885897	0.598616	0.888694	0.526010	0.404885	0.386117	1.000000	0.358397	0.132472	0.521198	0.376923	0.995308	0.979617	0.505485	0.718584	0.958208	0.208352	0.988208	0.406011	0.375932	0.291157	0.887945	0.258091	0.445638	0.404859	0.352583	0.066874	0.173981	0.973797	0.697117	0.064597	0.310978	0.993738
Corporation	0.812385	0.779531	0.844256	0.791316	0.931542	0.335245	0.377303	0.644920	0.912163	0.697181	0.881419	0.921278	0.922385	0.358397	1.000000	0.808352	0.778854	0.945634	0.333297	0.374930	0.937254	0.875433	0.327805	0.909974	0.470677	0.925729	0.938477	0.918607	0.624407	0.899237	0.916816	0.935623	0.894310	0.613624	0.865275	0.357007	0.522728	0.546937	0.944859	0.391648
Municipal	0.810916	0.740440	0.810687	0.837150	0.812820	0.105396	0.145356	0.425977	0.788966	0.481855	0.809283	0.852190	0.836393	0.132472	0.808352	1.000000	0.605560	0.860122	0.102749	0.163193	0.798549	0.666279	0.138624	0.888937	0.249739	0.844190	0.814958	0.782711	0.408215	0.879802	0.751770	0.825504	0.843374	0.678579	0.765530	0.113912	0.457517	0.702593	0.852847	0.157477
Projonon	0.707438	0.767671	0.675540	0.601938	0.850051	0.545110	0.555091	0.808113	0.851265	0.767871	0.882232	0.804942	0.861409	0.521198	0.778854	0.605560	1.000000	0.830567	0.516059	0.583537	0.876100	0.842932	0.515107	0.769571	0.618479	0.835735	0.811066	0.878234	0.722039	0.830002	0.886464	0.806539	0.793393	0.549529	0.642205	0.542047	0.641463	0.577918	0.814979	0.564118
Control	0.857045	0.796727	0.820741	0.817569	0.961353	0.352162	0.392122	0.665298	0.939155	0.692946	0.938186	0.980310	0.978501	0.376923	0.945634	0.860122	0.830567	1.000000	0.340123	0.391300	0.969928	0.883574	0.342825	0.960117	0.490024	0.991742	0.937609	0.958664	0.619162	0.949610	0.945106	0.951492	0.947657	0.570367	0.891461	0.367466	0.553068	0.598362	0.977635	0.402728
Larvae	0.200797	0.386521	0.207092	0.019385	0.497408	0.997782	0.996657	0.882285	0.578746	0.886207	0.507348	0.370294	0.360419	0.995308	0.333297	0.102749	0.516059	0.340123	1.000000	0.982082	0.480082	0.698079	0.974433	0.172907	0.984953	0.366103	0.358804	0.265476	0.891576	0.238489	0.426423	0.382263	0.330972	0.079784	0.138660	0.981280	0.712222	0.066927	0.284552	0.996412
Fogging	0.238100	0.446698	0.241851	0.050250	0.534342	0.984062	0.987283	0.891930	0.611918	0.889720	0.571895	0.410963	0.414879	0.979617	0.374930	0.163193	0.583537	0.391300	0.982082	1.000000	0.525946	0.717326	0.949592	0.235096	0.977145	0.422642	0.400199	0.341473	0.890070	0.300048	0.484443	0.410757	0.364409	0.131640	0.172947	0.964140	0.731201	0.131394	0.329330	0.981150
Cleansing	0.876775	0.862894	0.864447	0.760195	0.978365	0.492341	0.523635	0.786991	0.979529	0.801964	0.971962	0.978946	0.966234	0.505485	0.937254	0.798549	0.876100	0.969928	0.480082	0.525946	1.000000	0.949039	0.478249	0.927110	0.611117	0.968123	0.970242	0.942342	0.765603	0.942711	0.967759	0.956729	0.947626	0.646273	0.865728	0.492032	0.650017	0.614578	0.968378	0.540492
Clean	0.739280	0.767898	0.747506	0.597269	0.941467	0.705653	0.731680	0.898970	0.963797	0.931907	0.913807	0.892140	0.876993	0.718584	0.875433	0.666279	0.842932	0.883574	0.698079	0.717326	0.949039	1.000000	0.685982	0.786348	0.801659	0.883392	0.890310	0.830625	0.897384	0.810066	0.894723	0.890123	0.867937	0.526234	0.746907	0.710156	0.716092	0.486875	0.858819	0.748170
Aerosol	0.245645	0.417289	0.251210	0.102744	0.500012	0.968802	0.965709	0.853696	0.594214	0.880485	0.511885	0.376911	0.378372	0.958208	0.327805	0.138624	0.515107	0.342825	0.974433	0.949592	0.478249	0.685982	1.000000	0.176314	0.964462	0.362485	0.377278	0.273496	0.881215	0.263763	0.440933	0.408327	0.370995	0.088339	0.154786	0.978334	0.785725	0.079525	0.303465	0.974945
Production	0.885693	0.842242	0.856754	0.852857	0.906687	0.184285	0.225488	0.538134	0.886750	0.552772	0.885369	0.952535	0.947438	0.208352	0.909974	0.888937	0.769571	0.960117	0.172907	0.235096	0.927110	0.786348	0.176314	1.000000	0.324926	0.964184	0.920532	0.935144	0.496103	0.951711	0.903871	0.899859	0.904076	0.636989	0.900952	0.183874	0.482265	0.646239	0.962196	0.236268
Aedes	0.329565	0.488122	0.329031	0.160125	0.626735	0.985158	0.992241	0.928357	0.698950	0.942102	0.628361	0.512082	0.500527	0.988208	0.470677	0.249739	0.618479	0.490024	0.984953	0.977145	0.611117	0.801659	0.964462	0.324926	1.000000	0.511688	0.494436	0.410237	0.931358	0.380501	0.555222	0.519562	0.471925	0.163037	0.282544	0.978471	0.753266	0.158040	0.432024	0.993824
Steps	0.840365	0.820487	0.803685	0.803312	0.964152	0.377173	0.419970	0.673744	0.943426	0.697368	0.933788	0.976953	0.976922	0.406011	0.925729	0.844190	0.835735	0.991742	0.366103	0.422642	0.968123	0.883392	0.362485	0.964184	0.511688	1.000000	0.923870	0.955590	0.626402	0.934992	0.941016	0.930490	0.928852	0.533229	0.880449	0.382801	0.572462	0.562152	0.963831	0.425999
Symptoms	0.910100	0.880554	0.946489	0.828764	0.948363	0.365710	0.398032	0.690749	0.946763	0.730585	0.930565	0.957397	0.938644	0.375932	0.938477	0.814958	0.811066	0.937609	0.358804	0.400199	0.970242	0.890310	0.377278	0.920532	0.494436	0.923870	1.000000	0.926575	0.701049	0.944548	0.951019	0.966272	0.938985	0.736145	0.896987	0.380395	0.604366	0.616204	0.977915	0.425054
Signs	0.832268	0.807996	0.826894	0.814176	0.922681	0.281667	0.317478	0.607049	0.890265	0.635275	0.913359	0.927449	0.965066	0.291157	0.918607	0.782711	0.878234	0.958664	0.265476	0.341473	0.942342	0.830625	0.273496	0.935144	0.410237	0.955590	0.926575	1.000000	0.564169	0.943077	0.957507	0.915351	0.917881	0.583876	0.873211	0.299123	0.524440	0.568494	0.955417	0.330090
Fever	0.564005	0.676207	0.593379	0.338908	0.754242	0.896388	0.900048	0.964803	0.820454	0.970265	0.773594	0.670972	0.640391	0.887945	0.624407	0.408215	0.722039	0.619162	0.891576	0.890070	0.765603	0.897384	0.881215	0.496103	0.931358	0.626402	0.701049	0.564169	1.000000	0.577147	0.699917	0.681256	0.656243	0.465698	0.464192	0.875842	0.769626	0.375909	0.611677	0.919641
Pain	0.927544	0.837078	0.899866	0.846062	0.920526	0.254340	0.279919	0.620896	0.897688	0.626842	0.946807	0.958368	0.962948	0.258091	0.899237	0.879802	0.830002	0.949610	0.238489	0.300048	0.942711	0.810066	0.263763	0.951711	0.380501	0.934992	0.944548	0.943077	0.577147	1.000000	0.942080	0.948392	0.955332	0.751871	0.886310	0.257824	0.586455	0.761497	0.974091	0.302132
Vomit	0.831337	0.858559	0.851055	0.770875	0.956587	0.436579	0.470065	0.738533	0.947363	0.756240	0.945432	0.943252	0.958364	0.445638	0.916816	0.751770	0.886464	0.945106	0.426423	0.484443	0.967759	0.894723	0.440933	0.903871	0.555222	0.941016	0.951019	0.957507	0.699917	0.942080	1.000000	0.960661	0.919471	0.623675	0.888328	0.451035	0.704058	0.573743	0.957929	0.487597
Blood	0.858762	0.806041	0.890230	0.823294	0.967618	0.386892	0.420768	0.703467	0.943345	0.748905	0.927015	0.961832	0.951857	0.404859	0.935623	0.825504	0.806539	0.951492	0.382263	0.410757	0.956729	0.890123	0.408327	0.899859	0.519562	0.930490	0.966272	0.915351	0.681256	0.948392	0.960661	1.000000	0.953544	0.671694	0.915218	0.414043	0.665853	0.609165	0.974145	0.446734
Headache	0.900906	0.788671	0.879003	0.832312	0.939699	0.342868	0.369845	0.655860	0.918534	0.696502	0.934374	0.960256	0.955273	0.352583	0.894310	0.843374	0.793393	0.947657	0.330972	0.364409	0.947626	0.867937	0.370995	0.904076	0.471925	0.928852	0.938985	0.917881	0.656243	0.955332	0.919471	0.953544	1.000000	0.655794	0.881100	0.359075	0.606994	0.664994	0.954480	0.398712
Tireness	0.767299	0.677381	0.829890	0.561249	0.592755	0.095439	0.089333	0.451962	0.591299	0.422665	0.687090	0.640785	0.596363	0.066874	0.613624	0.678579	0.549529	0.570367	0.079784	0.131640	0.646273	0.526234	0.088339	0.636989	0.163037	0.533229	0.736145	0.583876	0.465698	0.751871	0.623675	0.671694	0.655794	1.000000	0.591119	0.062173	0.385436	0.851793	0.676155	0.127378
Breath	0.792744	0.728246	0.835696	0.795877	0.873527	0.140744	0.183916	0.474711	0.829083	0.524202	0.797104	0.903877	0.899575	0.173981	0.865275	0.765530	0.642205	0.891461	0.138660	0.172947	0.865728	0.746907	0.154786	0.900952	0.282544	0.880449	0.896987	0.873211	0.464192	0.886310	0.888328	0.915218	0.881100	0.591119	1.000000	0.166794	0.509936	0.532160	0.922727	0.210889
Platilet	0.222548	0.358036	0.209787	0.055178	0.504156	0.981351	0.979734	0.869717	0.588565	0.890954	0.514846	0.384138	0.383788	0.973797	0.357007	0.113912	0.542047	0.367466	0.981280	0.964140	0.492032	0.710156	0.978334	0.183874	0.978471	0.382801	0.380395	0.299123	0.875842	0.257824	0.451035	0.414043	0.359075	0.062173	0.166794	1.000000	0.720120	0.074468	0.314497	0.983451
Onuchokrika	0.484544	0.673044	0.547804	0.431247	0.692556	0.703700	0.718137	0.771542	0.748141	0.806635	0.687531	0.593874	0.627957	0.697117	0.522728	0.457517	0.641463	0.553068	0.712222	0.731201	0.650017	0.716092	0.785725	0.482265	0.753266	0.572462	0.604366	0.524440	0.769626	0.586455	0.704058	0.665853	0.606994	0.385436	0.509936	0.720120	1.000000	0.362079	0.563493	0.738066
Complexity	0.755219	0.523207	0.638493	0.484100	0.543001	0.100411	0.082588	0.443176	0.544073	0.362653	0.702657	0.641549	0.621273	0.064597	0.546937	0.702593	0.577918	0.598362	0.066927	0.131394	0.614578	0.486875	0.079525	0.646239	0.158040	0.562152	0.616204	0.568494	0.375909	0.761497	0.573743	0.609165	0.664994	0.851793	0.532160	0.074468	0.362079	1.000000	0.638780	0.108900
Human	0.918663	0.839872	0.904998	0.863052	0.950432	0.294684	0.329553	0.639490	0.932695	0.667975	0.933680	0.981695	0.970611	0.310978	0.944859	0.852847	0.814979	0.977635	0.284552	0.329330	0.968378	0.858819	0.303465	0.962196	0.432024	0.963831	0.977915	0.955417	0.611677	0.974091	0.957929	0.974145	0.954480	0.676155	0.922727	0.314497	0.563493	0.638780	1.000000	0.350633
Mosquitos	0.260332	0.435709	0.270000	0.079606	0.556122	0.995667	0.996940	0.907931	0.633882	0.915961	0.561170	0.432951	0.423046	0.993738	0.391648	0.157477	0.564118	0.402728	0.996412	0.981150	0.540492	0.748170	0.974945	0.236268	0.993824	0.425999	0.425054	0.330090	0.919641	0.302132	0.487597	0.446734	0.398712	0.127378	0.210889	0.983451	0.738066	0.108900	0.350633	1.000000
